Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l2leaf,LEAF1A,Ethernet51,,l3spine,SPINE1,Ethernet1,
l2leaf,LEAF1A,Ethernet53,,mlag_peer,LEAF1B,Ethernet53,
l2leaf,LEAF1A,Ethernet54,,mlag_peer,LEAF1B,Ethernet54,
l2leaf,LEAF1B,Ethernet51,,l3spine,SPINE2,Ethernet1,
l2leaf,LEAF2A,Ethernet1/1,,l3spine,SPINE1,Ethernet49/1,
l2leaf,LEAF2A,Ethernet1/3,,l3spine,SPINE2,Ethernet49/1,
l2leaf,LEAF3A,Ethernet97/1,,l3spine,SPINE1,Ethernet50/1,
l2leaf,LEAF3A,Ethernet97/2,,l3spine,SPINE2,Ethernet50/1,
l2leaf,LEAF3A,Ethernet97/3,,l2leaf,LEAF3C,Ethernet97/1,
l2leaf,LEAF3A,Ethernet97/4,,l2leaf,LEAF3D,Ethernet97/1,
l2leaf,LEAF3A,Ethernet98/1,,l2leaf,LEAF3E,Ethernet97/1,
l2leaf,LEAF3A,Ethernet98/3,,mlag_peer,LEAF3B,Ethernet98/3,
l2leaf,LEAF3A,Ethernet98/4,,mlag_peer,LEAF3B,Ethernet98/4,
l2leaf,LEAF3B,Ethernet97/1,,l3spine,SPINE1,Ethernet51/1,
l2leaf,LEAF3B,Ethernet97/2,,l3spine,SPINE2,Ethernet51/1,
l2leaf,LEAF3B,Ethernet97/3,,l2leaf,LEAF3C,Ethernet97/2,
l2leaf,LEAF3B,Ethernet97/4,,l2leaf,LEAF3D,Ethernet97/2,
l2leaf,LEAF3B,Ethernet98/1,,l2leaf,LEAF3E,Ethernet97/2,
l3spine,SPINE1,Ethernet55/1,,mlag_peer,SPINE2,Ethernet55/1,
l3spine,SPINE1,Ethernet56/1,,mlag_peer,SPINE2,Ethernet56/1,
