Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,LEAF1A,Ethernet1,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet2,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet3,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet4,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet5,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet6,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet7,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet8,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet9,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet10,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet11,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet12,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet13,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet14,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet15,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet16,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet17,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet18,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet19,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet20,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet21,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet22,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet23,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet24,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet25,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet26,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet27,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet28,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet29,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet30,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet31,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet32,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet33,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet34,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet35,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet36,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet37,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet38,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet39,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet40,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet41,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet42,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet43,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet44,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet45,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet46,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet47,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet48,network_port,IDF1 Standard Port,,True
leaf,LEAF1A,Ethernet51,l3spine,SPINE1,Ethernet1,True
leaf,LEAF1A,Ethernet53,mlag_peer,LEAF1B,Ethernet53,True
leaf,LEAF1A,Ethernet54,mlag_peer,LEAF1B,Ethernet54,True
leaf,LEAF1B,Ethernet1,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet2,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet3,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet4,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet5,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet6,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet7,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet8,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet9,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet10,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet11,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet12,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet13,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet14,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet15,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet16,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet17,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet18,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet19,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet20,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet21,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet22,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet23,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet24,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet25,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet26,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet27,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet28,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet29,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet30,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet31,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet32,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet33,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet34,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet35,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet36,network_port,IDF1 Standard Port,,True
leaf,LEAF1B,Ethernet37,network_port,IDF1 Standard Port,,True
