Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,dc1-leaf1a,Ethernet1,10.255.255.1/31,spine,dc1-spine1,Ethernet1,10.255.255.0/31
l3leaf,dc1-leaf1a,Ethernet2,10.255.255.3/31,spine,dc1-spine2,Ethernet1,10.255.255.2/31
l3leaf,dc1-leaf1b,Ethernet1,10.255.255.5/31,spine,dc1-spine1,Ethernet2,10.255.255.4/31
l3leaf,dc1-leaf1b,Ethernet2,10.255.255.7/31,spine,dc1-spine2,Ethernet2,10.255.255.6/31
l3leaf,dc1-leaf2a,Ethernet1,10.255.255.9/31,spine,dc1-spine1,Ethernet3,10.255.255.8/31
l3leaf,dc1-leaf2a,Ethernet2,10.255.255.11/31,spine,dc1-spine2,Ethernet3,10.255.255.10/31
l3leaf,dc1-leaf2a,Ethernet6,172.100.100.0/31,l3leaf,dc2-leaf2a,Ethernet6,172.100.100.1/31
l3leaf,dc1-leaf2b,Ethernet1,10.255.255.13/31,spine,dc1-spine1,Ethernet4,10.255.255.12/31
l3leaf,dc1-leaf2b,Ethernet2,10.255.255.15/31,spine,dc1-spine2,Ethernet4,10.255.255.14/31
l3leaf,dc1-leaf2b,Ethernet6,172.100.100.2/31,l3leaf,dc2-leaf2b,Ethernet6,172.100.100.3/31
l3leaf,dc2-leaf1a,Ethernet1,10.255.255.65/31,spine,dc2-spine1,Ethernet1,10.255.255.64/31
l3leaf,dc2-leaf1a,Ethernet2,10.255.255.67/31,spine,dc2-spine2,Ethernet1,10.255.255.66/31
l3leaf,dc2-leaf1b,Ethernet1,10.255.255.69/31,spine,dc2-spine1,Ethernet2,10.255.255.68/31
l3leaf,dc2-leaf1b,Ethernet2,10.255.255.71/31,spine,dc2-spine2,Ethernet2,10.255.255.70/31
l3leaf,dc2-leaf2a,Ethernet1,10.255.255.73/31,spine,dc2-spine1,Ethernet3,10.255.255.72/31
l3leaf,dc2-leaf2a,Ethernet2,10.255.255.75/31,spine,dc2-spine2,Ethernet3,10.255.255.74/31
l3leaf,dc2-leaf2b,Ethernet1,10.255.255.77/31,spine,dc2-spine1,Ethernet4,10.255.255.76/31
l3leaf,dc2-leaf2b,Ethernet2,10.255.255.79/31,spine,dc2-spine2,Ethernet4,10.255.255.78/31
