Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l2leaf,LEAF1,Ethernet1,,l2spine,SPINE1,Ethernet1,
l2leaf,LEAF1,Ethernet2,,l2spine,SPINE2,Ethernet1,
l2leaf,LEAF1,Ethernet47,,mlag_peer,LEAF2,Ethernet47,
l2leaf,LEAF1,Ethernet48,,mlag_peer,LEAF2,Ethernet48,
l2leaf,LEAF2,Ethernet1,,l2spine,SPINE1,Ethernet2,
l2leaf,LEAF2,Ethernet2,,l2spine,SPINE2,Ethernet2,
l2leaf,LEAF3,Ethernet1,,l2spine,SPINE1,Ethernet3,
l2leaf,LEAF3,Ethernet2,,l2spine,SPINE2,Ethernet3,
l2leaf,LEAF3,Ethernet47,,mlag_peer,LEAF4,Ethernet47,
l2leaf,LEAF3,Ethernet48,,mlag_peer,LEAF4,Ethernet48,
l2leaf,LEAF4,Ethernet1,,l2spine,SPINE1,Ethernet4,
l2leaf,LEAF4,Ethernet2,,l2spine,SPINE2,Ethernet4,
l2spine,SPINE1,Ethernet47,,mlag_peer,SPINE2,Ethernet47,
l2spine,SPINE1,Ethernet48,,mlag_peer,SPINE2,Ethernet48,
