Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l2leaf,LEAF1,Ethernet1,l2spine,SPINE1,Ethernet1,True
l2leaf,LEAF1,Ethernet2,l2spine,SPINE2,Ethernet1,True
l2leaf,LEAF1,Ethernet3,server,HostA,Eth1,True
l2leaf,LEAF1,Ethernet47,mlag_peer,LEAF2,Ethernet47,True
l2leaf,LEAF1,Ethernet48,mlag_peer,LEAF2,Ethernet48,True
l2leaf,LEAF2,Ethernet1,l2spine,SPINE1,Ethernet2,True
l2leaf,LEAF2,Ethernet2,l2spine,SPINE2,Ethernet2,True
l2leaf,LEAF2,Ethernet3,server,HostB,Eth1,True
l2leaf,LEAF2,Ethernet47,mlag_peer,LEAF1,Ethernet47,True
l2leaf,LEAF2,Ethernet48,mlag_peer,LEAF1,Ethernet48,True
l2leaf,LEAF3,Ethernet1,l2spine,SPINE1,Ethernet3,True
l2leaf,LEAF3,Ethernet2,l2spine,SPINE2,Ethernet3,True
l2leaf,LEAF3,Ethernet3,server,HostC,Eth1,True
l2leaf,LEAF3,Ethernet47,mlag_peer,LEAF4,Ethernet47,True
l2leaf,LEAF3,Ethernet48,mlag_peer,LEAF4,Ethernet48,True
l2leaf,LEAF4,Ethernet1,l2spine,SPINE1,Ethernet4,True
l2leaf,LEAF4,Ethernet2,l2spine,SPINE2,Ethernet4,True
l2leaf,LEAF4,Ethernet3,server,Host2,Eth1,True
l2leaf,LEAF4,Ethernet47,mlag_peer,LEAF3,Ethernet47,True
l2leaf,LEAF4,Ethernet48,mlag_peer,LEAF3,Ethernet48,True
