Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
media_leaf,amber-leaf1,Ethernet1,10.255.254.1/31,media_spine,amber-spine1,Ethernet1,10.255.254.0/31
media_leaf,amber-leaf1,Ethernet2,10.255.254.3/31,media_spine,amber-spine1,Ethernet2,10.255.254.2/31
media_leaf,amber-leaf2,Ethernet1,10.255.254.9/31,media_spine,amber-spine1,Ethernet3,10.255.254.8/31
media_leaf,amber-leaf2,Ethernet2,10.255.254.11/31,media_spine,amber-spine1,Ethernet4,10.255.254.10/31
media_spine,amber-spine1,Ethernet5,10.255.253.0/31,ptp_leaf,media-PTP-1,Ethernet1,10.255.253.1/31
media_spine,amber-spine1,Ethernet6,10.255.253.4/31,ptp_leaf,media-PTP-2,Ethernet1,10.255.253.5/31
media_leaf,blue-leaf1,Ethernet1,10.255.255.1/31,media_spine,blue-spine1,Ethernet1,10.255.255.0/31
media_leaf,blue-leaf1,Ethernet2,10.255.255.3/31,media_spine,blue-spine1,Ethernet2,10.255.255.2/31
media_leaf,blue-leaf2,Ethernet1,10.255.255.9/31,media_spine,blue-spine1,Ethernet3,10.255.255.8/31
media_leaf,blue-leaf2,Ethernet2,10.255.255.11/31,media_spine,blue-spine1,Ethernet4,10.255.255.10/31
media_spine,blue-spine1,Ethernet5,10.255.253.2/31,ptp_leaf,media-PTP-1,Ethernet2,10.255.253.3/31
media_spine,blue-spine1,Ethernet6,10.255.253.6/31,ptp_leaf,media-PTP-2,Ethernet2,10.255.253.7/31
ptp_leaf,media-PTP-1,Ethernet3,,ptp_leaf,media-PTP-2,Ethernet3,
ptp_leaf,media-PTP-1,Ethernet4,,ptp_leaf,media-PTP-2,Ethernet4,
