Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
media_leaf,amber-leaf1,Ethernet1,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet2,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet3,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet4,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet5,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet6,network_port,DirectOut EXBOX,,False
media_leaf,amber-leaf1,Ethernet7,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet8,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet9,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet10,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet11,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet12,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet13,network_port,C100-1 P1-1,,True
media_leaf,amber-leaf1,Ethernet14,network_port,C100-1 P1-2,,True
media_leaf,amber-leaf1,Ethernet15,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet16,network_port,C100-1 P1-4,,True
media_leaf,amber-leaf1,Ethernet17,network_port,C100-2 P1-1,,False
media_leaf,amber-leaf1,Ethernet18,network_port,C100-2 P1-2,,False
media_leaf,amber-leaf1,Ethernet19,network_port,C100-2 P1-3,,False
media_leaf,amber-leaf1,Ethernet20,network_port,C100-2 P1-4,,False
media_leaf,amber-leaf1,Ethernet21,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet22,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet23,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet24,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet25,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet26,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet27,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet28,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet29,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet30,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet31,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet32,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet33,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet34,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet35,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet36,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet37,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet38,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet39,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet40,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf1,Ethernet41,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet42,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet43,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet44,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet45,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet46,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet47,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet48,network_port,AMBER_VLAN111,,False
media_leaf,amber-leaf1,Ethernet49/1,media_spine,amber-spine1,Ethernet1/1,True
media_leaf,amber-leaf1,Ethernet50/1,network_port,SHUTDOWN_SPINE_LINKS,,False
media_leaf,amber-leaf1,Ethernet51/1,network_port,SHUTDOWN_SPINE_LINKS,,False
media_leaf,amber-leaf1,Ethernet52/1,network_port,SHUTDOWN_SPINE_LINKS,,False
media_leaf,amber-leaf1,Ethernet53/1,network_port,EVS Neuron,,True
media_leaf,amber-leaf1,Ethernet54/1,network_port,Imagine SNP-2118212563-Data-A,,True
media_leaf,amber-leaf2,Ethernet1,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet2,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet3,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet4,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet5,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet6,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet7,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet8,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet9,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet10,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet11,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet12,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet13,network_port,C100-1 P2-2,,True
media_leaf,amber-leaf2,Ethernet14,network_port,C100-1 P2-2,,True
media_leaf,amber-leaf2,Ethernet15,network_port,C100-1 P2-3,,True
media_leaf,amber-leaf2,Ethernet16,network_port,C100-1 P2-4,,True
media_leaf,amber-leaf2,Ethernet17,network_port,C100-2 P2-1,,False
media_leaf,amber-leaf2,Ethernet18,network_port,C100-2 P2-2,,False
media_leaf,amber-leaf2,Ethernet19,network_port,C100-2 P2-3,,False
media_leaf,amber-leaf2,Ethernet20,network_port,C100-2 P2-4,,False
media_leaf,amber-leaf2,Ethernet21,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet22,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet23,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet24,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet25,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet26,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet27,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet28,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet29,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet30,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet31,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet32,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet33,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet34,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet35,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet36,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet37,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet38,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet39,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet40,network_port,mcs senders/receivers,,False
media_leaf,amber-leaf2,Ethernet41,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet42,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet43,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet44,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet45,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet46,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet47,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet48,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet49/1,media_spine,amber-spine1,Ethernet3/1,True
media_leaf,amber-leaf2,Ethernet50/1,network_port,SHUTDOWN_SPINE_LINKS,,False
media_leaf,amber-leaf2,Ethernet51/1,network_port,SHUTDOWN_SPINE_LINKS,,False
media_leaf,amber-leaf2,Ethernet52/1,network_port,SHUTDOWN_SPINE_LINKS,,False
media_leaf,amber-leaf2,Ethernet53/1,network_port,EVS Neuron,,True
media_leaf,amber-leaf2,Ethernet54/1,network_port,Imagine SNP-2118212563-Data-B,,True
media_spine,amber-spine1,Ethernet1/1,media_leaf,amber-leaf1,Ethernet49/1,True
media_spine,amber-spine1,Ethernet2/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet3/1,media_leaf,amber-leaf2,Ethernet49/1,True
media_spine,amber-spine1,Ethernet4/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet5/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet5/2,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet5/3,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet5/4,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet6/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet7/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet7/2,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet7/3,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet7/4,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet8/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet9/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet10/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet11/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet12/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet13/1,network_port,C100-2 P1,,True
media_spine,amber-spine1,Ethernet14/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet15/1,network_port,Telestream iQ Inspect - Eth2,,True
media_spine,amber-spine1,Ethernet16/1,network_port,smartSCOPE-AristaMaELAB,mcs sender/receiver,,True
media_spine,amber-spine1,Ethernet17/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet18/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet19/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet20/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet21/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet22/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet23/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet24/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet25/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet26/1,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet27/1,ptp_leaf,media-PTP-1,Ethernet51,True
media_spine,amber-spine1,Ethernet27/2,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet27/3,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet28/1,ptp_leaf,media-PTP-2,Ethernet51,True
media_spine,amber-spine1,Ethernet28/2,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet28/3,network_port,mcs senders/receivers,,False
media_spine,amber-spine1,Ethernet29/1,network_port,Links to blue-spine1,,False
media_spine,amber-spine1,Ethernet30/1,network_port,Links to blue-spine1,,False
media_leaf,blue-leaf1,Ethernet1,network_port,Newt-1 A,,False
media_leaf,blue-leaf1,Ethernet2,network_port,Newt-1 B,,False
media_leaf,blue-leaf1,Ethernet3,network_port,Newt-2 A,,False
media_leaf,blue-leaf1,Ethernet4,network_port,Newt-2 B,,False
media_leaf,blue-leaf1,Ethernet5,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet6,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet7,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet8,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet9,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet10,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet11,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet12,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet13,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet14,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet15,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet16,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet17,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet18,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet19,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet20,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet21,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet22,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet23,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet24,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet25,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet26,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet27,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet28,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet29,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet30,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet31,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet32,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet33,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet34,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet35,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet36,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet37,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet38,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet39,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet40,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet41,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet42,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet43,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet44,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet45,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet46,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet47,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet48,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet49/1,network_port,SHUTDOWN_SPINE_LINK,,False
media_leaf,blue-leaf1,Ethernet50/1,network_port,SHUTDOWN_SPINE_LINK,,False
media_leaf,blue-leaf1,Ethernet51/1,media_spine,blue-spine1,Ethernet17/1,True
media_leaf,blue-leaf1,Ethernet52/1,network_port,SHUTDOWN_SPINE_LINK,,False
media_leaf,blue-leaf1,Ethernet53/1,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet54/1,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet55/1,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet56/1,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet57/1,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet58/1,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet59/1,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet60/1,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet60/2,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet60/3,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf1,Ethernet60/4,network_port,BLUE_VLAN121,,False
media_leaf,blue-leaf2,Ethernet1,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet2,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet3,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet4,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet5,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet6,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet7,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet8,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet9,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet10,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet11,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet12,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet13,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet14,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet15,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet16,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet17,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet18,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet19,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet20,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet21,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet22,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet23,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet24,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet25,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet26,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet27,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet28,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet29,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet30,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet31,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet32,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet33,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet34,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet35,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet36,network_port,BLUE_VLAN122,,False
media_leaf,blue-leaf2,Ethernet37,network_port,BLUE_VLAN122,,False
