test_id,node,test_category,test_description,test,result,failure_reason
1,amber-leaf1,Hardware,Power supply status,Power supply 1,FAIL,Power supply state is powerLoss
2,amber-leaf1,Hardware,Power supply status,Power supply 2,PASS,
3,amber-leaf2,Hardware,Power supply status,Power supply 1,PASS,
4,amber-leaf2,Hardware,Power supply status,Power supply 2,FAIL,Power supply state is powerLoss
5,amber-spine1,Hardware,Power supply status,Power supply 1,FAIL,Power supply state is powerLoss
6,amber-spine1,Hardware,Power supply status,Power supply 2,PASS,
7,blue-leaf1,Hardware,Power supply status,Power supply 1,PASS,
8,blue-leaf1,Hardware,Power supply status,Power supply 2,PASS,
9,blue-leaf2,Hardware,Power supply status,Power supply 1,FAIL,Power supply state is unknown
10,blue-leaf2,Hardware,Power supply status,Power supply 2,PASS,
11,blue-spine1,Hardware,Power supply status,Power supply 1,PASS,
12,blue-spine1,Hardware,Power supply status,Power supply 2,PASS,
13,media-PTP-1,Hardware,Power supply status,Power supply 1,FAIL,Power supply state is powerLoss
14,media-PTP-1,Hardware,Power supply status,Power supply 2,PASS,
15,media-PTP-2,Hardware,Power supply status,Power supply 1,PASS,
16,media-PTP-2,Hardware,Power supply status,Power supply 2,FAIL,Power supply state is powerLoss
17,amber-leaf1,Hardware,Fan status (power supplies),Power supply fan PowerSupply1,PASS,
18,amber-leaf1,Hardware,Fan status (power supplies),Power supply fan PowerSupply2,PASS,
19,amber-leaf2,Hardware,Fan status (power supplies),Power supply fan PowerSupply1,PASS,
20,amber-leaf2,Hardware,Fan status (power supplies),Power supply fan PowerSupply2,PASS,
21,amber-spine1,Hardware,Fan status (power supplies),Power supply fan PowerSupply1,FAIL,Power supply fan status is powerLoss
22,amber-spine1,Hardware,Fan status (power supplies),Power supply fan PowerSupply2,PASS,
23,blue-leaf1,Hardware,Fan status (power supplies),Power supply fan PowerSupply1,PASS,
24,blue-leaf1,Hardware,Fan status (power supplies),Power supply fan PowerSupply2,PASS,
25,blue-leaf2,Hardware,Fan status (power supplies),Power supply fan PowerSupply2,PASS,
26,blue-spine1,Hardware,Fan status (power supplies),Power supply fan PowerSupply1,PASS,
27,blue-spine1,Hardware,Fan status (power supplies),Power supply fan PowerSupply2,PASS,
28,media-PTP-1,Hardware,Fan status (power supplies),Power supply fan PowerSupply1,PASS,
29,media-PTP-1,Hardware,Fan status (power supplies),Power supply fan PowerSupply2,PASS,
30,media-PTP-2,Hardware,Fan status (power supplies),Power supply fan PowerSupply1,PASS,
31,media-PTP-2,Hardware,Fan status (power supplies),Power supply fan PowerSupply2,PASS,
32,amber-leaf1,Hardware,Fan status (fan tray),Tray 1,PASS,
33,amber-leaf1,Hardware,Fan status (fan tray),Tray 2,PASS,
34,amber-leaf1,Hardware,Fan status (fan tray),Tray 3,PASS,
35,amber-leaf1,Hardware,Fan status (fan tray),Tray 4,PASS,
36,amber-leaf2,Hardware,Fan status (fan tray),Tray 1,PASS,
37,amber-leaf2,Hardware,Fan status (fan tray),Tray 2,PASS,
38,amber-leaf2,Hardware,Fan status (fan tray),Tray 3,PASS,
39,amber-leaf2,Hardware,Fan status (fan tray),Tray 4,PASS,
40,amber-spine1,Hardware,Fan status (fan tray),Tray 1,PASS,
41,amber-spine1,Hardware,Fan status (fan tray),Tray 2,PASS,
42,amber-spine1,Hardware,Fan status (fan tray),Tray 3,PASS,
43,amber-spine1,Hardware,Fan status (fan tray),Tray 4,PASS,
44,amber-spine1,Hardware,Fan status (fan tray),Tray 5,PASS,
45,blue-leaf1,Hardware,Fan status (fan tray),Tray 1,PASS,
46,blue-leaf1,Hardware,Fan status (fan tray),Tray 2,PASS,
47,blue-leaf1,Hardware,Fan status (fan tray),Tray 3,PASS,
48,blue-leaf1,Hardware,Fan status (fan tray),Tray 4,PASS,
49,blue-leaf2,Hardware,Fan status (fan tray),Tray 1,PASS,
50,blue-leaf2,Hardware,Fan status (fan tray),Tray 2,PASS,
51,blue-leaf2,Hardware,Fan status (fan tray),Tray 3,PASS,
52,blue-spine1,Hardware,Fan status (fan tray),Tray 1,PASS,
53,blue-spine1,Hardware,Fan status (fan tray),Tray 2,PASS,
54,blue-spine1,Hardware,Fan status (fan tray),Tray 3,PASS,
55,blue-spine1,Hardware,Fan status (fan tray),Tray 4,PASS,
56,media-PTP-1,Hardware,Fan status (fan tray),Tray 1,PASS,
57,media-PTP-1,Hardware,Fan status (fan tray),Tray 2,PASS,
58,media-PTP-1,Hardware,Fan status (fan tray),Tray 3,PASS,
59,media-PTP-1,Hardware,Fan status (fan tray),Tray 4,PASS,
60,media-PTP-2,Hardware,Fan status (fan tray),Tray 1,PASS,
61,media-PTP-2,Hardware,Fan status (fan tray),Tray 2,PASS,
62,media-PTP-2,Hardware,Fan status (fan tray),Tray 3,PASS,
63,media-PTP-2,Hardware,Fan status (fan tray),Tray 4,PASS,
64,amber-leaf1,Hardware,Temperature,System temperature,PASS,
65,amber-leaf2,Hardware,Temperature,System temperature,PASS,
66,amber-spine1,Hardware,Temperature,System temperature,PASS,
67,blue-leaf1,Hardware,Temperature,System temperature,PASS,
68,blue-leaf2,Hardware,Temperature,System temperature,PASS,
69,blue-spine1,Hardware,Temperature,System temperature,PASS,
70,media-PTP-1,Hardware,Temperature,System temperature,PASS,
71,media-PTP-2,Hardware,Temperature,System temperature,PASS,
72,amber-leaf1,Hardware,Transceivers manufacturers,Port 1,PASS,
73,amber-leaf1,Hardware,Transceivers manufacturers,Port 5,PASS,
74,amber-leaf1,Hardware,Transceivers manufacturers,Port 13,PASS,
75,amber-leaf1,Hardware,Transceivers manufacturers,Port 14,PASS,
76,amber-leaf1,Hardware,Transceivers manufacturers,Port 15,PASS,
77,amber-leaf1,Hardware,Transceivers manufacturers,Port 16,PASS,
78,amber-leaf1,Hardware,Transceivers manufacturers,Port 25,FAIL,Transceivers manufacturers is Molex Inc.
79,amber-leaf1,Hardware,Transceivers manufacturers,Port 26,FAIL,Transceivers manufacturers is Molex Inc.
80,amber-leaf1,Hardware,Transceivers manufacturers,Port 27,FAIL,Transceivers manufacturers is Molex Inc.
81,amber-leaf1,Hardware,Transceivers manufacturers,Port 41,PASS,
82,amber-leaf1,Hardware,Transceivers manufacturers,Port 42,PASS,
83,amber-leaf1,Hardware,Transceivers manufacturers,Port 43,PASS,
84,amber-leaf1,Hardware,Transceivers manufacturers,Port 44,PASS,
85,amber-leaf1,Hardware,Transceivers manufacturers,Port 45,PASS,
86,amber-leaf1,Hardware,Transceivers manufacturers,Port 46,PASS,
87,amber-leaf1,Hardware,Transceivers manufacturers,Port 49,PASS,
88,amber-leaf1,Hardware,Transceivers manufacturers,Port 50,PASS,
89,amber-leaf1,Hardware,Transceivers manufacturers,Port 51,PASS,
90,amber-leaf1,Hardware,Transceivers manufacturers,Port 52,PASS,
91,amber-leaf1,Hardware,Transceivers manufacturers,Port 53,PASS,
92,amber-leaf1,Hardware,Transceivers manufacturers,Port 54,PASS,
93,amber-leaf2,Hardware,Transceivers manufacturers,Port 5,PASS,
94,amber-leaf2,Hardware,Transceivers manufacturers,Port 13,PASS,
95,amber-leaf2,Hardware,Transceivers manufacturers,Port 14,PASS,
96,amber-leaf2,Hardware,Transceivers manufacturers,Port 15,PASS,
97,amber-leaf2,Hardware,Transceivers manufacturers,Port 16,PASS,
98,amber-leaf2,Hardware,Transceivers manufacturers,Port 41,PASS,
99,amber-leaf2,Hardware,Transceivers manufacturers,Port 42,PASS,
100,amber-leaf2,Hardware,Transceivers manufacturers,Port 43,PASS,
101,amber-leaf2,Hardware,Transceivers manufacturers,Port 44,PASS,
