Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,dc1-leaf1a,Ethernet1,10.255.255.1/31,spine,dc1-spine1,Ethernet1,10.255.255.0/31
l3leaf,dc1-leaf1a,Ethernet2,10.255.255.3/31,spine,dc1-spine2,Ethernet1,10.255.255.2/31
l3leaf,dc1-leaf1a,Ethernet3,,mlag_peer,dc1-leaf1b,Ethernet3,
l3leaf,dc1-leaf1a,Ethernet4,,mlag_peer,dc1-leaf1b,Ethernet4,
l3leaf,dc1-leaf1a,Ethernet8,,l2leaf,dc1-leaf1c,Ethernet1,
l3leaf,dc1-leaf1b,Ethernet1,10.255.255.5/31,spine,dc1-spine1,Ethernet2,10.255.255.4/31
l3leaf,dc1-leaf1b,Ethernet2,10.255.255.7/31,spine,dc1-spine2,Ethernet2,10.255.255.6/31
l3leaf,dc1-leaf1b,Ethernet8,,l2leaf,dc1-leaf1c,Ethernet2,
l3leaf,dc1-leaf2a,Ethernet1,10.255.255.9/31,spine,dc1-spine1,Ethernet3,10.255.255.8/31
l3leaf,dc1-leaf2a,Ethernet2,10.255.255.11/31,spine,dc1-spine2,Ethernet3,10.255.255.10/31
l3leaf,dc1-leaf2a,Ethernet3,,mlag_peer,dc1-leaf2b,Ethernet3,
l3leaf,dc1-leaf2a,Ethernet4,,mlag_peer,dc1-leaf2b,Ethernet4,
l3leaf,dc1-leaf2a,Ethernet8,,l2leaf,dc1-leaf2c,Ethernet1,
l3leaf,dc1-leaf2b,Ethernet1,10.255.255.13/31,spine,dc1-spine1,Ethernet4,10.255.255.12/31
l3leaf,dc1-leaf2b,Ethernet2,10.255.255.15/31,spine,dc1-spine2,Ethernet4,10.255.255.14/31
l3leaf,dc1-leaf2b,Ethernet8,,l2leaf,dc1-leaf2c,Ethernet2,
