Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,dc1-leaf1a,Ethernet1,192.168.103.1/31,spine,dc1-spine1,Ethernet3,192.168.103.0/31
l3leaf,dc1-leaf1a,Ethernet2,192.168.103.3/31,spine,dc1-spine2,Ethernet3,192.168.103.2/31
l3leaf,dc1-leaf1b,Ethernet1,192.168.103.5/31,spine,dc1-spine1,Ethernet4,192.168.103.4/31
l3leaf,dc1-leaf1b,Ethernet2,192.168.103.7/31,spine,dc1-spine2,Ethernet4,192.168.103.6/31
l3leaf,dc1-leaf2a,Ethernet1,192.168.103.9/31,spine,dc1-spine3,Ethernet3,192.168.103.8/31
l3leaf,dc1-leaf2a,Ethernet2,192.168.103.11/31,spine,dc1-spine4,Ethernet3,192.168.103.10/31
l3leaf,dc1-leaf2b,Ethernet1,192.168.103.13/31,spine,dc1-spine3,Ethernet4,192.168.103.12/31
l3leaf,dc1-leaf2b,Ethernet2,192.168.103.15/31,spine,dc1-spine4,Ethernet4,192.168.103.14/31
spine,dc1-spine1,Ethernet1,192.168.103.41/31,super-spine,dc1-ss1,Ethernet1,192.168.103.40/31
spine,dc1-spine1,Ethernet2,192.168.103.43/31,super-spine,dc1-ss2,Ethernet1,192.168.103.42/31
spine,dc1-spine2,Ethernet1,192.168.103.45/31,super-spine,dc1-ss1,Ethernet2,192.168.103.44/31
spine,dc1-spine2,Ethernet2,192.168.103.47/31,super-spine,dc1-ss2,Ethernet2,192.168.103.46/31
spine,dc1-spine3,Ethernet1,192.168.103.49/31,super-spine,dc1-ss1,Ethernet3,192.168.103.48/31
spine,dc1-spine3,Ethernet2,192.168.103.51/31,super-spine,dc1-ss2,Ethernet3,192.168.103.50/31
spine,dc1-spine4,Ethernet1,192.168.103.53/31,super-spine,dc1-ss1,Ethernet4,192.168.103.52/31
spine,dc1-spine4,Ethernet2,192.168.103.55/31,super-spine,dc1-ss2,Ethernet4,192.168.103.54/31
