Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,dc1-leaf1a,Ethernet1,spine,dc1-spine1,Ethernet3,True
l3leaf,dc1-leaf1a,Ethernet2,spine,dc1-spine2,Ethernet3,True
l3leaf,dc1-leaf1a,Ethernet3,mlag_peer,dc1-leaf1b,Ethernet3,True
l3leaf,dc1-leaf1a,Ethernet4,mlag_peer,dc1-leaf1b,Ethernet4,True
l3leaf,dc1-leaf1a,Ethernet5,server,host1,,True
l3leaf,dc1-leaf1b,Ethernet1,spine,dc1-spine1,Ethernet4,True
l3leaf,dc1-leaf1b,Ethernet2,spine,dc1-spine2,Ethernet4,True
l3leaf,dc1-leaf1b,Ethernet3,mlag_peer,dc1-leaf1a,Ethernet3,True
l3leaf,dc1-leaf1b,Ethernet4,mlag_peer,dc1-leaf1a,Ethernet4,True
l3leaf,dc1-leaf1b,Ethernet5,server,host1,,True
l3leaf,dc1-leaf2a,Ethernet1,spine,dc1-spine3,Ethernet3,True
l3leaf,dc1-leaf2a,Ethernet2,spine,dc1-spine4,Ethernet3,True
l3leaf,dc1-leaf2a,Ethernet3,mlag_peer,dc1-leaf2b,Ethernet3,True
l3leaf,dc1-leaf2a,Ethernet4,mlag_peer,dc1-leaf2b,Ethernet4,True
l3leaf,dc1-leaf2a,Ethernet5,server,host2,,True
l3leaf,dc1-leaf2b,Ethernet1,spine,dc1-spine3,Ethernet4,True
l3leaf,dc1-leaf2b,Ethernet2,spine,dc1-spine4,Ethernet4,True
l3leaf,dc1-leaf2b,Ethernet3,mlag_peer,dc1-leaf2a,Ethernet3,True
l3leaf,dc1-leaf2b,Ethernet4,mlag_peer,dc1-leaf2a,Ethernet4,True
l3leaf,dc1-leaf2b,Ethernet5,server,host2,,True
l3leaf,dc1-leaf2b,Ethernet6,l3_interface,,,True
spine,dc1-spine1,Ethernet1,super-spine,dc1-ss1,Ethernet1,True
spine,dc1-spine1,Ethernet2,super-spine,dc1-ss2,Ethernet1,True
spine,dc1-spine1,Ethernet3,l3leaf,dc1-leaf1a,Ethernet1,True
spine,dc1-spine1,Ethernet4,l3leaf,dc1-leaf1b,Ethernet1,True
spine,dc1-spine2,Ethernet1,super-spine,dc1-ss1,Ethernet2,True
spine,dc1-spine2,Ethernet2,super-spine,dc1-ss2,Ethernet2,True
spine,dc1-spine2,Ethernet3,l3leaf,dc1-leaf1a,Ethernet2,True
spine,dc1-spine2,Ethernet4,l3leaf,dc1-leaf1b,Ethernet2,True
spine,dc1-spine3,Ethernet1,super-spine,dc1-ss1,Ethernet3,True
spine,dc1-spine3,Ethernet2,super-spine,dc1-ss2,Ethernet3,True
spine,dc1-spine3,Ethernet3,l3leaf,dc1-leaf2a,Ethernet1,True
spine,dc1-spine3,Ethernet4,l3leaf,dc1-leaf2b,Ethernet1,True
spine,dc1-spine4,Ethernet1,super-spine,dc1-ss1,Ethernet4,True
spine,dc1-spine4,Ethernet2,super-spine,dc1-ss2,Ethernet4,True
spine,dc1-spine4,Ethernet3,l3leaf,dc1-leaf2a,Ethernet2,True
spine,dc1-spine4,Ethernet4,l3leaf,dc1-leaf2b,Ethernet2,True
super-spine,dc1-ss1,Ethernet1,spine,dc1-spine1,Ethernet1,True
super-spine,dc1-ss1,Ethernet2,spine,dc1-spine2,Ethernet1,True
super-spine,dc1-ss1,Ethernet3,spine,dc1-spine3,Ethernet1,True
super-spine,dc1-ss1,Ethernet4,spine,dc1-spine4,Ethernet1,True
super-spine,dc1-ss2,Ethernet1,spine,dc1-spine1,Ethernet2,True
super-spine,dc1-ss2,Ethernet2,spine,dc1-spine2,Ethernet2,True
super-spine,dc1-ss2,Ethernet3,spine,dc1-spine3,Ethernet2,True
super-spine,dc1-ss2,Ethernet4,spine,dc1-spine4,Ethernet2,True
