Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,DC1-BL1A,Ethernet41,172.31.255.81/31,spine,DC1-SPINE1,Ethernet6,172.31.255.80/31
l3leaf,DC1-BL1A,Ethernet42,172.31.255.83/31,spine,DC1-SPINE2,Ethernet6,172.31.255.82/31
l3leaf,DC1-BL1A,Ethernet43,172.31.255.85/31,spine,DC1-SPINE3,Ethernet6,172.31.255.84/31
l3leaf,DC1-BL1A,Ethernet44,172.31.255.87/31,spine,DC1-SPINE4,Ethernet6,172.31.255.86/31
l3leaf,DC1-BL1B,Ethernet45,172.31.255.97/31,spine,DC1-SPINE1,Ethernet7,172.31.255.96/31
l3leaf,DC1-BL1B,Ethernet46,172.31.255.99/31,spine,DC1-SPINE2,Ethernet7,172.31.255.98/31
l3leaf,DC1-BL1B,Ethernet47,172.31.255.101/31,spine,DC1-SPINE3,Ethernet7,172.31.255.100/31
l3leaf,DC1-BL1B,Ethernet48,172.31.255.103/31,spine,DC1-SPINE4,Ethernet7,172.31.255.102/31
l3leaf,DC1-LEAF1A,Ethernet1,172.31.255.1/31,spine,DC1-SPINE1,Ethernet1,172.31.255.0/31
l3leaf,DC1-LEAF1A,Ethernet2,172.31.255.3/31,spine,DC1-SPINE2,Ethernet1,172.31.255.2/31
l3leaf,DC1-LEAF1A,Ethernet3,172.31.255.5/31,spine,DC1-SPINE3,Ethernet1,172.31.255.4/31
l3leaf,DC1-LEAF1A,Ethernet4,172.31.255.7/31,spine,DC1-SPINE4,Ethernet1,172.31.255.6/31
l3leaf,DC1-LEAF2A,Ethernet1,172.31.255.17/31,spine,DC1-SPINE1,Ethernet2,172.31.255.16/31
l3leaf,DC1-LEAF2A,Ethernet2,172.31.255.19/31,spine,DC1-SPINE2,Ethernet2,172.31.255.18/31
l3leaf,DC1-LEAF2A,Ethernet3,172.31.255.21/31,spine,DC1-SPINE3,Ethernet2,172.31.255.20/31
l3leaf,DC1-LEAF2A,Ethernet4,172.31.255.23/31,spine,DC1-SPINE4,Ethernet2,172.31.255.22/31
l3leaf,DC1-LEAF2B,Ethernet1,172.31.255.33/31,spine,DC1-SPINE1,Ethernet3,172.31.255.32/31
l3leaf,DC1-LEAF2B,Ethernet2,172.31.255.35/31,spine,DC1-SPINE2,Ethernet3,172.31.255.34/31
l3leaf,DC1-LEAF2B,Ethernet3,172.31.255.37/31,spine,DC1-SPINE3,Ethernet3,172.31.255.36/31
l3leaf,DC1-LEAF2B,Ethernet4,172.31.255.39/31,spine,DC1-SPINE4,Ethernet3,172.31.255.38/31
spine,DC1-SPINE1,Ethernet4,172.31.255.48/31,l3leaf,DC1-SVC3A,Ethernet41,172.31.255.49/31
spine,DC1-SPINE1,Ethernet5,172.31.255.64/31,l3leaf,DC1-SVC3B,Ethernet41,172.31.255.65/31
spine,DC1-SPINE2,Ethernet4,172.31.255.50/31,l3leaf,DC1-SVC3A,Ethernet42,172.31.255.51/31
spine,DC1-SPINE2,Ethernet5,172.31.255.66/31,l3leaf,DC1-SVC3B,Ethernet42,172.31.255.67/31
spine,DC1-SPINE3,Ethernet4,172.31.255.52/31,l3leaf,DC1-SVC3A,Ethernet43,172.31.255.53/31
spine,DC1-SPINE3,Ethernet5,172.31.255.68/31,l3leaf,DC1-SVC3B,Ethernet43,172.31.255.69/31
spine,DC1-SPINE4,Ethernet4,172.31.255.54/31,l3leaf,DC1-SVC3A,Ethernet44,172.31.255.55/31
spine,DC1-SPINE4,Ethernet5,172.31.255.70/31,l3leaf,DC1-SVC3B,Ethernet44,172.31.255.71/31
