Node Type,Node,Serial Number,Node Interface,Peer Type,Peer Node,Peer Serial Number,Peer Interface,Node Interface Enabled
l3leaf,dc1-leaf1a,,Ethernet1,spine,dc1-spine1,,Ethernet1,True
l3leaf,dc1-leaf1a,,Ethernet3,mlag_peer,dc1-leaf1b,,Ethernet3,True
l3leaf,dc1-leaf1a,,Ethernet4,mlag_peer,dc1-leaf1b,,Ethernet4,True
l3leaf,dc1-leaf1a,,Ethernet10,,WEB-SERVER-01,,eth0,True
l3leaf,dc1-leaf1a,,Ethernet11,,ESXI-HOST-03,,vmnic0,True
l3leaf,dc1-leaf1b,,Ethernet1,spine,dc1-spine1,,Ethernet2,True
l3leaf,dc1-leaf1b,,Ethernet3,mlag_peer,dc1-leaf1a,,Ethernet3,True
l3leaf,dc1-leaf1b,,Ethernet4,mlag_peer,dc1-leaf1a,,Ethernet4,True
l3leaf,dc1-leaf1b,,Ethernet11,,ESXI-HOST-03,,vmnic1,True
spine,dc1-spine1,,Ethernet1,l3leaf,dc1-leaf1a,,Ethernet1,True
spine,dc1-spine1,,Ethernet2,l3leaf,dc1-leaf1b,,Ethernet1,True
spine,dc1-spine1,,Ethernet3,service_leaf,dc1-svc-leaf1,,Ethernet1,True
service_leaf,dc1-svc-leaf1,,Ethernet1,spine,dc1-spine1,,Ethernet3,True
service_leaf,dc1-svc-leaf1,,Ethernet10,,APP-SERVER-01,,eth0,True
