Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,dc1-pod1-leaf1a,Ethernet1,spine,dc1-pod1-spine1,Ethernet1,True
l3leaf,dc1-pod1-leaf1a,Ethernet3,mlag_peer,dc1-pod1-leaf1b,Ethernet3,True
l3leaf,dc1-pod1-leaf1a,Ethernet4,mlag_peer,dc1-pod1-leaf1b,Ethernet4,True
l3leaf,dc1-pod1-leaf1a,Ethernet5,server,dc1-pod1-leaf1-server1,PCI1,True
l3leaf,dc1-pod1-leaf1a,Ethernet8,l2leaf,dc1-pod1-leaf1c,Ethernet1,True
l3leaf,dc1-pod1-leaf1b,Ethernet1,spine,dc1-pod1-spine1,Ethernet2,True
l3leaf,dc1-pod1-leaf1b,Ethernet3,mlag_peer,dc1-pod1-leaf1a,Ethernet3,True
l3leaf,dc1-pod1-leaf1b,Ethernet4,mlag_peer,dc1-pod1-leaf1a,Ethernet4,True
l3leaf,dc1-pod1-leaf1b,Ethernet5,server,dc1-pod1-leaf1-server1,PCI2,True
l3leaf,dc1-pod1-leaf1b,Ethernet8,l2leaf,dc1-pod1-leaf1c,Ethernet2,True
l2leaf,dc1-pod1-leaf1c,Ethernet1,l3leaf,dc1-pod1-leaf1a,Ethernet8,True
l2leaf,dc1-pod1-leaf1c,Ethernet2,l3leaf,dc1-pod1-leaf1b,Ethernet8,True
spine,dc1-pod1-spine1,Ethernet1,l3leaf,dc1-pod1-leaf1a,Ethernet1,True
spine,dc1-pod1-spine1,Ethernet2,l3leaf,dc1-pod1-leaf1b,Ethernet1,True
spine,dc1-pod1-spine1,Ethernet10,super-spine,dc1-super-spine1,Ethernet1,True
l3leaf,dc1-pod2-leaf1a,Ethernet1,spine,dc1-pod2-spine1,Ethernet1,True
spine,dc1-pod2-spine1,Ethernet1,l3leaf,dc1-pod2-leaf1a,Ethernet1,True
spine,dc1-pod2-spine1,Ethernet10,super-spine,dc1-super-spine1,Ethernet4,True
super-spine,dc1-super-spine1,Ethernet1,spine,dc1-pod1-spine1,Ethernet10,True
super-spine,dc1-super-spine1,Ethernet4,spine,dc1-pod2-spine1,Ethernet10,True
