Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,dc1-pod1-leaf1a,Ethernet1,10.255.255.1/31,spine,dc1-pod1-spine1,Ethernet1,10.255.255.0/31
l3leaf,dc1-pod1-leaf1a,Ethernet2,10.255.255.3/31,spine,dc1-pod1-spine2,Ethernet1,10.255.255.2/31
l3leaf,dc1-pod1-leaf1b,Ethernet1,10.255.255.5/31,spine,dc1-pod1-spine1,Ethernet2,10.255.255.4/31
l3leaf,dc1-pod1-leaf1b,Ethernet2,10.255.255.7/31,spine,dc1-pod1-spine2,Ethernet2,10.255.255.6/31
l3leaf,dc1-pod1-leaf2a,Ethernet1,10.255.255.9/31,spine,dc1-pod1-spine1,Ethernet3,10.255.255.8/31
l3leaf,dc1-pod1-leaf2a,Ethernet2,10.255.255.11/31,spine,dc1-pod1-spine2,Ethernet3,10.255.255.10/31
l3leaf,dc1-pod1-leaf2b,Ethernet1,10.255.255.13/31,spine,dc1-pod1-spine1,Ethernet4,10.255.255.12/31
l3leaf,dc1-pod1-leaf2b,Ethernet2,10.255.255.15/31,spine,dc1-pod1-spine2,Ethernet4,10.255.255.14/31
spine,dc1-pod1-spine1,Ethernet10,10.255.253.1/31,super-spine,dc1-super-spine1,Ethernet1,10.255.253.0/31
spine,dc1-pod1-spine1,Ethernet11,10.255.253.3/31,super-spine,dc1-super-spine2,Ethernet1,10.255.253.2/31
spine,dc1-pod1-spine2,Ethernet10,10.255.253.5/31,super-spine,dc1-super-spine1,Ethernet2,10.255.253.4/31
spine,dc1-pod1-spine2,Ethernet11,10.255.253.7/31,super-spine,dc1-super-spine2,Ethernet2,10.255.253.6/31
l3leaf,dc1-pod2-leaf1a,Ethernet1,10.255.255.1/31,spine,dc1-pod2-spine1,Ethernet1,10.255.255.0/31
l3leaf,dc1-pod2-leaf1a,Ethernet2,10.255.255.3/31,spine,dc1-pod2-spine2,Ethernet1,10.255.255.2/31
l3leaf,dc1-pod2-leaf1b,Ethernet1,10.255.255.5/31,spine,dc1-pod2-spine1,Ethernet2,10.255.255.4/31
l3leaf,dc1-pod2-leaf1b,Ethernet2,10.255.255.7/31,spine,dc1-pod2-spine2,Ethernet2,10.255.255.6/31
spine,dc1-pod2-spine1,Ethernet10,10.255.254.1/31,super-spine,dc1-super-spine1,Ethernet3,10.255.254.0/31
spine,dc1-pod2-spine1,Ethernet11,10.255.254.3/31,super-spine,dc1-super-spine2,Ethernet3,10.255.254.2/31
spine,dc1-pod2-spine2,Ethernet10,10.255.254.5/31,super-spine,dc1-super-spine1,Ethernet4,10.255.254.4/31
spine,dc1-pod2-spine2,Ethernet11,10.255.254.7/31,super-spine,dc1-super-spine2,Ethernet4,10.255.254.6/31
