Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
l3leaf,DC1-LEAF1A,Ethernet1,spine,DC1-SPINE1,Ethernet1
l3leaf,DC1-LEAF1A,Ethernet2,spine,DC1-SPINE2,Ethernet1
l3leaf,DC1-LEAF1A,Ethernet3,spine,DC1-SPINE3,Ethernet1
l3leaf,DC1-LEAF1A,Ethernet4,spine,DC1-SPINE4,Ethernet1
l3leaf,DC1-LEAF1A,Ethernet6,server,server02_SINGLE_NODE_TRUNK,Eth1
l3leaf,DC1-LEAF1A,Ethernet7,server,server02_SINGLE_NODE,Eth1
spine,DC1-SPINE1,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet1
spine,DC1-SPINE2,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet2
spine,DC1-SPINE3,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet3
spine,DC1-SPINE4,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet4
