Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
spine,DC1-SPINE1,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet1
spine,DC1-SPINE1,Ethernet2,l3leaf,DC1-LEAF2A,Ethernet1
spine,DC1-SPINE1,Ethernet3,l3leaf,DC1-LEAF2B,Ethernet1
spine,DC1-SPINE1,Ethernet4,l3leaf,DC1-SVC3A,Ethernet1
spine,DC1-SPINE1,Ethernet5,l3leaf,DC1-SVC3B,Ethernet1
spine,DC1-SPINE1,Ethernet6,l3leaf,DC1-BL1A,Ethernet1
spine,DC1-SPINE1,Ethernet7,l3leaf,DC1-BL1B,Ethernet1
spine,DC1-SPINE2,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet2
spine,DC1-SPINE2,Ethernet2,l3leaf,DC1-LEAF2A,Ethernet2
spine,DC1-SPINE2,Ethernet3,l3leaf,DC1-LEAF2B,Ethernet2
spine,DC1-SPINE2,Ethernet4,l3leaf,DC1-SVC3A,Ethernet2
spine,DC1-SPINE2,Ethernet5,l3leaf,DC1-SVC3B,Ethernet2
spine,DC1-SPINE2,Ethernet6,l3leaf,DC1-BL1A,Ethernet2
spine,DC1-SPINE2,Ethernet7,l3leaf,DC1-BL1B,Ethernet2
spine,DC1-SPINE3,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet3
spine,DC1-SPINE3,Ethernet2,l3leaf,DC1-LEAF2A,Ethernet3
spine,DC1-SPINE3,Ethernet3,l3leaf,DC1-LEAF2B,Ethernet3
spine,DC1-SPINE3,Ethernet4,l3leaf,DC1-SVC3A,Ethernet3
spine,DC1-SPINE3,Ethernet5,l3leaf,DC1-SVC3B,Ethernet3
spine,DC1-SPINE3,Ethernet6,l3leaf,DC1-BL1A,Ethernet3
spine,DC1-SPINE3,Ethernet7,l3leaf,DC1-BL1B,Ethernet3
spine,DC1-SPINE4,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet4
spine,DC1-SPINE4,Ethernet2,l3leaf,DC1-LEAF2A,Ethernet4
spine,DC1-SPINE4,Ethernet3,l3leaf,DC1-LEAF2B,Ethernet4
spine,DC1-SPINE4,Ethernet4,l3leaf,DC1-SVC3A,Ethernet4
spine,DC1-SPINE4,Ethernet5,l3leaf,DC1-SVC3B,Ethernet4
spine,DC1-SPINE4,Ethernet6,l3leaf,DC1-BL1A,Ethernet4
spine,DC1-SPINE4,Ethernet7,l3leaf,DC1-BL1B,Ethernet4
l3leaf,DC1-BL1A,Ethernet1,spine,DC1-SPINE1,Ethernet6
l3leaf,DC1-BL1A,Ethernet2,spine,DC1-SPINE2,Ethernet6
l3leaf,DC1-BL1A,Ethernet3,spine,DC1-SPINE3,Ethernet6
l3leaf,DC1-BL1A,Ethernet4,spine,DC1-SPINE4,Ethernet6
l3leaf,DC1-BL1A,Ethernet5,mlag_peer,DC1-BL1B,Ethernet5
l3leaf,DC1-BL1A,Ethernet6,mlag_peer,DC1-BL1B,Ethernet6
l3leaf,DC1-BL1B,Ethernet1,spine,DC1-SPINE1,Ethernet7
l3leaf,DC1-BL1B,Ethernet2,spine,DC1-SPINE2,Ethernet7
l3leaf,DC1-BL1B,Ethernet3,spine,DC1-SPINE3,Ethernet7
l3leaf,DC1-BL1B,Ethernet4,spine,DC1-SPINE4,Ethernet7
l3leaf,DC1-BL1B,Ethernet5,mlag_peer,DC1-BL1A,Ethernet5
l3leaf,DC1-BL1B,Ethernet6,mlag_peer,DC1-BL1A,Ethernet6
l3leaf,DC1-LEAF1A,Ethernet1,spine,DC1-SPINE1,Ethernet1
l3leaf,DC1-LEAF1A,Ethernet2,spine,DC1-SPINE2,Ethernet1
l3leaf,DC1-LEAF1A,Ethernet3,spine,DC1-SPINE3,Ethernet1
l3leaf,DC1-LEAF1A,Ethernet4,spine,DC1-SPINE4,Ethernet1
l3leaf,DC1-LEAF1A,Ethernet6,server,server02_SINGLE_NODE_TRUNK,Eth1
l3leaf,DC1-LEAF1A,Ethernet7,server,server02_SINGLE_NODE,Eth1
l3leaf,DC1-LEAF2A,Ethernet1,spine,DC1-SPINE1,Ethernet2
l3leaf,DC1-LEAF2A,Ethernet2,spine,DC1-SPINE2,Ethernet2
l3leaf,DC1-LEAF2A,Ethernet3,spine,DC1-SPINE3,Ethernet2
l3leaf,DC1-LEAF2A,Ethernet4,spine,DC1-SPINE4,Ethernet2
l3leaf,DC1-LEAF2A,Ethernet5,mlag_peer,DC1-LEAF2B,Ethernet5
l3leaf,DC1-LEAF2A,Ethernet6,mlag_peer,DC1-LEAF2B,Ethernet6
l3leaf,DC1-LEAF2A,Ethernet7,l2leaf,DC1-L2LEAF1A,Ethernet1
l3leaf,DC1-LEAF2A,Ethernet10,server,server01_MLAG,Eth2
l3leaf,DC1-LEAF2B,Ethernet1,spine,DC1-SPINE1,Ethernet3
l3leaf,DC1-LEAF2B,Ethernet2,spine,DC1-SPINE2,Ethernet3
l3leaf,DC1-LEAF2B,Ethernet3,spine,DC1-SPINE3,Ethernet3
l3leaf,DC1-LEAF2B,Ethernet4,spine,DC1-SPINE4,Ethernet3
l3leaf,DC1-LEAF2B,Ethernet5,mlag_peer,DC1-LEAF2A,Ethernet5
l3leaf,DC1-LEAF2B,Ethernet6,mlag_peer,DC1-LEAF2A,Ethernet6
l3leaf,DC1-LEAF2B,Ethernet7,l2leaf,DC1-L2LEAF1A,Ethernet2
l3leaf,DC1-LEAF2B,Ethernet10,server,server01_MLAG,Eth3
l3leaf,DC1-SVC3A,Ethernet1,spine,DC1-SPINE1,Ethernet4
l3leaf,DC1-SVC3A,Ethernet2,spine,DC1-SPINE2,Ethernet4
l3leaf,DC1-SVC3A,Ethernet3,spine,DC1-SPINE3,Ethernet4
l3leaf,DC1-SVC3A,Ethernet4,spine,DC1-SPINE4,Ethernet4
l3leaf,DC1-SVC3A,Ethernet5,mlag_peer,DC1-SVC3B,Ethernet5
l3leaf,DC1-SVC3A,Ethernet6,mlag_peer,DC1-SVC3B,Ethernet6
l3leaf,DC1-SVC3A,Ethernet7,l2leaf,DC1-L2LEAF2A,Ethernet1
