Node Type,Node,Serial Number,Node Interface,Peer Type,Peer Node,Peer Serial Number,Peer Interface,Node Interface Enabled
l2leaf,BGP-LEAF1,,Ethernet1,,BGP-SPINE1,,,True
l2leaf,BGP-LEAF1,,Ethernet2,,BGP-SPINE2,,,True
l2leaf,BGP-LEAF1,,Ethernet3,,BGP-LEAF3,,,True
l2leaf,BGP-LEAF1,,Ethernet4,,BGP-LEAF2,,,True
l2leaf,BGP-LEAF1,,Ethernet5,,BGP-LEAF2,,,True
l2leaf,BGP-LEAF1,,Ethernet10,,,,,True
l2leaf,BGP-LEAF1,,Ethernet11,,,,,True
l2leaf,BGP-LEAF1,,Ethernet12,,,,,True
l2leaf,BGP-LEAF1,,Ethernet13,,,,,True
l2leaf,BGP-LEAF1,,Ethernet14,,,,,True
l2leaf,BGP-LEAF2,,Ethernet1,,BGP-SPINE1,,,True
l2leaf,BGP-LEAF2,,Ethernet2,,BGP-SPINE2,,,True
l2leaf,BGP-LEAF2,,Ethernet3,,BGP-LEAF3,,,True
l2leaf,BGP-LEAF2,,Ethernet4,,BGP-LEAF1,,,True
l2leaf,BGP-LEAF2,,Ethernet5,,BGP-LEAF1,,,True
l2leaf,BGP-LEAF2,,Ethernet10,,,,,True
l2leaf,BGP-LEAF2,,Ethernet11,,,,,True
l2leaf,BGP-LEAF3,,Ethernet1,,BGP-LEAF1,,,True
l2leaf,BGP-LEAF3,,Ethernet2,,BGP-LEAF2,,,True
l2leaf,BGP-LEAF3,,Ethernet10,,,,,True
l2leaf,BGP-LEAF3,,Ethernet11,,,,,True
l3spine,BGP-SPINE1,,Ethernet1,,BGP-LEAF1,,,True
l3spine,BGP-SPINE1,,Ethernet2,,BGP-LEAF2,,,True
l3spine,BGP-SPINE1,,Ethernet3,,BGP-SPINE2,,,True
l3spine,BGP-SPINE1,,Ethernet4,,BGP-SPINE2,,,True
l3spine,BGP-SPINE1,,Ethernet5,,DUMMY-CORE,,,True
l3spine,BGP-SPINE1,,Ethernet6,,DUMMY-CORE,,,True
l3spine,BGP-SPINE1,,Ethernet7,,DUMMY-CORE,,,True
l3spine,BGP-SPINE1,,Ethernet8,,DUMMY-CORE,,,True
