Node Type,Node,Serial Number,Node Interface,Peer Type,Peer Node,Peer Serial Number,Peer Interface,Node Interface Enabled
pe,SITE1-LER1,,Ethernet1,,,,,True
pe,SITE1-LER1,,Ethernet2,,,,,True
pe,SITE1-LER1,,Ethernet3,,,,,True
pe,SITE1-LER1,,Ethernet4,,,,,True
pe,SITE1-LER1,,Ethernet6,,,,,True
pe,SITE1-LER1,,Ethernet6.10,,,,,True
pe,SITE1-LER1,,Ethernet8,,,,,True
pe,SITE1-LER1,,Ethernet9,,,,,True
pe,SITE1-LER1,,Ethernet9.100,,,,,True
pe,SITE1-LER1,,Ethernet9.101,,,,,True
pe,SITE1-LER2,,Ethernet1,,,,,True
pe,SITE1-LER2,,Ethernet2,,,,,True
pe,SITE1-LER2,,Ethernet3,,,,,True
pe,SITE1-LER2,,Ethernet4,,,,,True
pe,SITE1-LER2,,Ethernet5,,,,,True
pe,SITE1-LER2,,Ethernet5.100,,,,,True
pe,SITE1-LER2,,Ethernet8,,,,,True
p,SITE1-LSR1,,Ethernet1,,,,,True
p,SITE1-LSR1,,Ethernet3,,,,,True
p,SITE1-LSR1,,Ethernet4,,,,,True
p,SITE1-LSR2,,Ethernet1,,,,,True
p,SITE1-LSR2,,Ethernet3,,,,,True
rr,SITE1-RR1,,Ethernet4,,,,,True
pe,SITE2-LER1,,Ethernet1,,,,,True
pe,SITE2-LER1,,Ethernet4,,,,,True
pe,SITE2-LER1,,Ethernet5,,,,,True
pe,SITE2-LER1,,Ethernet6,,,,,True
pe,SITE2-LER1,,Ethernet6.10,,,,,True
pe,SITE2-LER1,,Ethernet6.100,,,,,True
pe,SITE2-LER1,,Ethernet6.101,,,,,True
pe,SITE2-LER1,,Ethernet7,,,,,True
pe,SITE2-LER1,,Ethernet8,,,,,True
pe,SITE2-LER1,,Ethernet9,,,,,True
pe,SITE2-LER1,,Ethernet9.100,,,,,True
pe,SITE2-LER1,,Ethernet9.101,,,,,True
pe,SITE2-LER1,,Ethernet11,,,,,True
pe,SITE2-LER1,,Ethernet12,,,,,True
pe,SITE2-LER1,,Ethernet13,,,,,True
pe,SITE2-LER1,,Ethernet14,,,,,True
p,SITE2-LSR1,,Ethernet1,,,,,True
p,SITE2-LSR1,,Ethernet3,,,,,True
p,SITE2-LSR1,,Ethernet4,,,,,True
p,SITE2-LSR2,,Ethernet3,,,,,True
p,SITE2-LSR2,,Ethernet12,,,,,True
p,SITE2-LSR2,,Ethernet13,,,,,True
p,SITE2-LSR2,,Ethernet14,,,,,True
p,SITE2-LSR2,,Ethernet15,,,,,True
rr,SITE2-RR1,,Ethernet4,,,,,True
