Node Type,Node,Serial Number,Node Interface,Peer Type,Peer Node,Peer Serial Number,Peer Interface,Node Interface Enabled
l2leaf,DC1-POD1-L2LEAF1A,,Ethernet1,,,,,True
l2leaf,DC1-POD1-L2LEAF1A,,Ethernet2,,,,,True
l2leaf,DC1-POD1-L2LEAF2A,,Ethernet1,,,,,True
l2leaf,DC1-POD1-L2LEAF2A,,Ethernet2,,,,,True
l2leaf,DC1-POD1-L2LEAF2A,,Ethernet3,,,,,True
l2leaf,DC1-POD1-L2LEAF2A,,Ethernet4,,,,,True
l2leaf,DC1-POD1-L2LEAF2B,,Ethernet1,,,,,True
l2leaf,DC1-POD1-L2LEAF2B,,Ethernet2,,,,,True
l2leaf,DC1-POD1-L2LEAF2B,,Ethernet3,,,,,True
l2leaf,DC1-POD1-L2LEAF2B,,Ethernet4,,,,,True
l3leaf,DC1-POD1-LEAF1A,,Ethernet1,,,,,True
l3leaf,DC1-POD1-LEAF1A,,Ethernet2,,,,,True
l3leaf,DC1-POD1-LEAF1A,,Ethernet3,,,,,True
l3leaf,DC1-POD1-LEAF1A,,Ethernet4,,,,,True
l3leaf,DC1-POD1-LEAF1B,,Ethernet1,,,,,True
l3leaf,DC1-POD1-LEAF1B,,Ethernet1.1025,,,,,True
l3leaf,DC1-POD1-LEAF1B,,Ethernet1.1100,,,,,True
l3leaf,DC1-POD1-LEAF1B,,Ethernet1.1101,,,,,True
l3leaf,DC1-POD1-LEAF1B,,Ethernet1.1102,,,,,True
l3leaf,DC1-POD1-LEAF1B,,Ethernet2,,,,,True
l3leaf,DC1-POD1-LEAF1B,,Ethernet2.1025,,,,,True
l3leaf,DC1-POD1-LEAF1B,,Ethernet2.1100,,,,,True
l3leaf,DC1-POD1-LEAF1B,,Ethernet2.1101,,,,,True
l3leaf,DC1-POD1-LEAF1B,,Ethernet2.1102,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet1,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet2,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet3,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet4,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet5,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet6,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet7,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet11,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet12,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet13,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet13.1025,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet13.1100,,,,,True
l3leaf,DC1-POD1-LEAF2B,,Ethernet13.1101,,,,,True
