Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,dc1-leaf1a,Ethernet1,spine,dc1-spine1,Ethernet1,True
l3leaf,dc1-leaf1a,Ethernet2,spine,dc1-spine2,Ethernet1,True
l3leaf,dc1-leaf1a,Ethernet8,l2leaf,dc1-leaf1c,Ethernet1,True
l3leaf,dc1-leaf1a,Ethernet9,mlag_peer,dc1-leaf1b,Ethernet9,True
l3leaf,dc1-leaf1a,Ethernet10,mlag_peer,dc1-leaf1b,Ethernet10,True
l3leaf,dc1-leaf1a,Ethernet11,server,DC1-LEAF1-SERVER1,Eth1,True
l3leaf,dc1-leaf1a,Ethernet12,server,DC1-LEAF1-SERVER1,Eth3,True
l3leaf,dc1-leaf1a,Ethernet13,server,DC1-LEAF1-SERVER2,Eth1,True
l3leaf,dc1-leaf1a,Ethernet14,server,DC1-LEAF1-SERVER2,Eth3,True
l3leaf,dc1-leaf1a,Ethernet15,server,DC1-LEAF1-SERVER3,Eth1,True
l3leaf,dc1-leaf1a,Ethernet16,server,DC1-LEAF1-SERVER3,Eth3,True
l3leaf,dc1-leaf1a,Ethernet17,server,DC1-LEAF1-SERVER3,Eth2,True
l3leaf,dc1-leaf1a,Ethernet18,server,DC1-LEAF1-SERVER3,Eth4,True
l3leaf,dc1-leaf1a,Ethernet20,server,DC1-LEAF1-SERVER4,Eth1,True
l3leaf,dc1-leaf1a,Ethernet22,server,DC1-LEAF1-SERVER4,Eth3,True
l3leaf,dc1-leaf1a,Ethernet24,server,DC1-LEAF1-SERVER4,Eth5,True
l3leaf,dc1-leaf1a,Ethernet26,server,DC1-LEAF1-SERVER4,Eth6,True
l3leaf,dc1-leaf1a,Ethernet31,network_port,,,True
l3leaf,dc1-leaf1a,Ethernet32,network_port,,,True
l3leaf,dc1-leaf1a,Ethernet33,network_port,,,True
l3leaf,dc1-leaf1a,Ethernet34,network_port,,,True
l3leaf,dc1-leaf1a,Ethernet35,network_port,,,True
