Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,mtwn-fl1-lfa,Ethernet49,mlag_peer,mtwn-fl1-lfb,Ethernet49,True
l3leaf,mtwn-fl1-lfa,Ethernet50,mlag_peer,mtwn-fl1-lfb,Ethernet50,True
l3leaf,mtwn-fl1-lfa,Ethernet51,spine,mtwn-spine1,Ethernet1,True
l3leaf,mtwn-fl1-lfa,Ethernet52,spine,mtwn-spine2,Ethernet1,True
l3leaf,mtwn-fl1-lfa,Ethernet53,l2leaf,mtwn-fl1-m1,Ethernet49,True
l3leaf,mtwn-fl1-lfa,Ethernet54,l2leaf,mtwn-fl1-m2,Ethernet49,True
l3leaf,mtwn-fl1-lfb,Ethernet49,mlag_peer,mtwn-fl1-lfa,Ethernet49,True
l3leaf,mtwn-fl1-lfb,Ethernet50,mlag_peer,mtwn-fl1-lfa,Ethernet50,True
l3leaf,mtwn-fl1-lfb,Ethernet51,spine,mtwn-spine1,Ethernet2,True
l3leaf,mtwn-fl1-lfb,Ethernet52,spine,mtwn-spine2,Ethernet2,True
l3leaf,mtwn-fl1-lfb,Ethernet53,l2leaf,mtwn-fl1-m1,Ethernet50,True
l3leaf,mtwn-fl1-lfb,Ethernet54,l2leaf,mtwn-fl1-m2,Ethernet50,True
l2leaf,mtwn-fl1-m1,Ethernet49,l3leaf,mtwn-fl1-lfa,Ethernet53,True
l2leaf,mtwn-fl1-m1,Ethernet50,l3leaf,mtwn-fl1-lfb,Ethernet53,True
l2leaf,mtwn-fl1-m1,Ethernet51,mlag_peer,mtwn-fl1-m2,Ethernet51,True
l2leaf,mtwn-fl1-m1,Ethernet52,mlag_peer,mtwn-fl1-m2,Ethernet52,True
l2leaf,mtwn-fl1-m1,Ethernet53,l2leaf,mtwn-fl1-m3,Ethernet49,True
l2leaf,mtwn-fl1-m1,Ethernet54,l2leaf,mtwn-fl1-m4,Ethernet49,True
l2leaf,mtwn-fl1-m2,Ethernet49,l3leaf,mtwn-fl1-lfa,Ethernet54,True
l2leaf,mtwn-fl1-m2,Ethernet50,l3leaf,mtwn-fl1-lfb,Ethernet54,True
l2leaf,mtwn-fl1-m2,Ethernet51,mlag_peer,mtwn-fl1-m1,Ethernet51,True
l2leaf,mtwn-fl1-m2,Ethernet52,mlag_peer,mtwn-fl1-m1,Ethernet52,True
l2leaf,mtwn-fl1-m2,Ethernet53,l2leaf,mtwn-fl1-m3,Ethernet50,True
l2leaf,mtwn-fl1-m2,Ethernet54,l2leaf,mtwn-fl1-m4,Ethernet50,True
l2leaf,mtwn-fl1-m3,Ethernet49,l2leaf,mtwn-fl1-m1,Ethernet53,True
l2leaf,mtwn-fl1-m3,Ethernet50,l2leaf,mtwn-fl1-m2,Ethernet53,True
l2leaf,mtwn-fl1-m3,Ethernet51,mlag_peer,mtwn-fl1-m4,Ethernet51,True
