Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,DC1-POD1-LEAF1A,Ethernet1,172.17.110.1/31,spine,DC1-POD1-SPINE1,Ethernet3,172.17.110.0/31
l3leaf,DC1-POD1-LEAF1A,Ethernet2,172.17.110.3/31,spine,DC1-POD1-SPINE2,Ethernet3,172.17.110.2/31
l3leaf,DC1-POD1-LEAF1A,Ethernet4,172.17.10.4/31,overlay-controller,DC1-RS1,Ethernet3,172.17.10.5/31
l3leaf,DC1-POD1-LEAF2A,Ethernet1,172.17.110.5/31,spine,DC1-POD1-SPINE1,Ethernet4,172.17.110.4/31
l3leaf,DC1-POD1-LEAF2A,Ethernet2,172.17.110.7/31,spine,DC1-POD1-SPINE2,Ethernet4,172.17.110.6/31
l3leaf,DC1-POD1-LEAF2A,Ethernet7,100.100.100.101/24,l3leaf,DC2-POD1-LEAF1A,Ethernet6,100.100.100.201/24
l3leaf,DC1-POD1-LEAF2B,Ethernet1,172.17.110.9/31,spine,DC1-POD1-SPINE1,Ethernet5,172.17.110.8/31
l3leaf,DC1-POD1-LEAF2B,Ethernet2,172.17.110.11/31,spine,DC1-POD1-SPINE2,Ethernet5,172.17.110.10/31
l3leaf,DC1-POD1-LEAF2B,Ethernet7,11.1.0.38/31,l3leaf,DC2-POD1-LEAF1A,Ethernet7,11.1.0.39/31
spine,DC1-POD1-SPINE1,Ethernet1,172.16.11.1/31,super-spine,DC1-SUPER-SPINE1,Ethernet1,172.16.11.0/31
spine,DC1-POD1-SPINE1,Ethernet2,172.16.11.65/31,super-spine,DC1-SUPER-SPINE2,Ethernet1,172.16.11.64/31
spine,DC1-POD1-SPINE1,Ethernet6,172.17.10.2/31,overlay-controller,DC1-RS1,Ethernet2,172.17.10.3/31
spine,DC1-POD1-SPINE2,Ethernet1,172.16.11.3/31,super-spine,DC1-SUPER-SPINE1,Ethernet2,172.16.11.2/31
spine,DC1-POD1-SPINE2,Ethernet2,172.16.11.67/31,super-spine,DC1-SUPER-SPINE2,Ethernet2,172.16.11.66/31
l3leaf,DC1-POD2-LEAF1A,Ethernet1,172.17.120.1/31,spine,DC1-POD2-SPINE1,Ethernet3,172.17.120.0/31
l3leaf,DC1-POD2-LEAF1A,Ethernet2,172.17.120.3/31,spine,DC1-POD2-SPINE2,Ethernet3,172.17.120.2/31
l3leaf,DC1-POD2-LEAF1A,Ethernet3,172.17.10.12/31,overlay-controller,DC1-RS2,Ethernet3,172.17.10.13/31
spine,DC1-POD2-SPINE1,Ethernet1,172.16.12.1/31,super-spine,DC1-SUPER-SPINE1,Ethernet3,172.16.12.0/31
spine,DC1-POD2-SPINE1,Ethernet2,172.16.12.65/31,super-spine,DC1-SUPER-SPINE2,Ethernet3,172.16.12.64/31
spine,DC1-POD2-SPINE1,Ethernet4,172.17.10.10/31,overlay-controller,DC1-RS2,Ethernet2,172.17.10.11/31
spine,DC1-POD2-SPINE1,Ethernet5,11.1.1.18/31,spine,DC2-POD1-SPINE1,Ethernet5,11.1.1.19/31
spine,DC1-POD2-SPINE2,Ethernet1,172.16.12.3/31,super-spine,DC1-SUPER-SPINE1,Ethernet4,172.16.12.2/31
spine,DC1-POD2-SPINE2,Ethernet2,172.16.12.67/31,super-spine,DC1-SUPER-SPINE2,Ethernet4,172.16.12.66/31
spine,DC1-POD2-SPINE2,Ethernet4,200.200.200.101/24,spine,DC2-POD1-SPINE2,Ethernet5,200.200.200.201/24
overlay-controller,DC1-RS1,Ethernet1,172.17.10.1/31,super-spine,DC1-SUPER-SPINE1,Ethernet5,172.17.10.0/31
overlay-controller,DC1-RS2,Ethernet1,172.17.10.9/31,super-spine,DC1-SUPER-SPINE2,Ethernet5,172.17.10.8/31
super-spine,DC1-SUPER-SPINE1,Ethernet6,11.1.2.0/31,super-spine,DC2-SUPER-SPINE1,Ethernet4,11.1.2.1/31
super-spine,DC1-SUPER-SPINE2,Ethernet6,11.1.2.2/31,super-spine,DC2-SUPER-SPINE2,Ethernet4,11.1.2.3/31
l3leaf,DC2-POD1-LEAF1A,Ethernet1,172.17.210.1/31,spine,DC2-POD1-SPINE1,Ethernet3,172.17.210.0/31
l3leaf,DC2-POD1-LEAF1A,Ethernet2,172.17.210.3/31,spine,DC2-POD1-SPINE2,Ethernet3,172.17.210.2/31
spine,DC2-POD1-SPINE1,Ethernet1,172.16.21.1/31,super-spine,DC2-SUPER-SPINE1,Ethernet1,172.16.21.0/31
spine,DC2-POD1-SPINE1,Ethernet2,172.16.21.65/31,super-spine,DC2-SUPER-SPINE2,Ethernet1,172.16.21.64/31
spine,DC2-POD1-SPINE2,Ethernet1,172.16.21.3/31,super-spine,DC2-SUPER-SPINE1,Ethernet2,172.16.21.2/31
spine,DC2-POD1-SPINE2,Ethernet2,172.16.21.67/31,super-spine,DC2-SUPER-SPINE2,Ethernet2,172.16.21.66/31
overlay-controller,DC2-RS1,Ethernet1,172.17.20.1/31,super-spine,DC2-SUPER-SPINE1,Ethernet3,172.17.20.0/31
overlay-controller,DC2-RS1,Ethernet2,172.17.20.3/31,super-spine,DC2-SUPER-SPINE1,Ethernet6,172.17.20.2/31
overlay-controller,DC2-RS2,Ethernet1,172.17.20.9/31,super-spine,DC2-SUPER-SPINE1,Ethernet5,172.17.20.8/31
overlay-controller,DC2-RS2,Ethernet2,172.17.20.11/31,super-spine,DC2-SUPER-SPINE1,Ethernet7,172.17.20.10/31
