Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l2leaf,DC1-POD1-L2LEAF1A,Ethernet1,l3leaf,DC1-POD1-LEAF1A,Ethernet3,True
l2leaf,DC1-POD1-L2LEAF2A,Ethernet1,l3leaf,DC1-POD1-LEAF2A,Ethernet3,True
l2leaf,DC1-POD1-L2LEAF2A,Ethernet2,l3leaf,DC1-POD1-LEAF2B,Ethernet3,True
l2leaf,DC1-POD1-L2LEAF2A,Ethernet3,mlag_peer,DC1-POD1-L2LEAF2B,Ethernet3,True
l2leaf,DC1-POD1-L2LEAF2A,Ethernet4,mlag_peer,DC1-POD1-L2LEAF2B,Ethernet4,True
l2leaf,DC1-POD1-L2LEAF2B,Ethernet1,l3leaf,DC1-POD1-LEAF2A,Ethernet4,True
l2leaf,DC1-POD1-L2LEAF2B,Ethernet2,l3leaf,DC1-POD1-LEAF2B,Ethernet4,True
l2leaf,DC1-POD1-L2LEAF2B,Ethernet3,mlag_peer,DC1-POD1-L2LEAF2A,Ethernet3,True
l2leaf,DC1-POD1-L2LEAF2B,Ethernet4,mlag_peer,DC1-POD1-L2LEAF2A,Ethernet4,True
l3leaf,DC1-POD1-LEAF1A,Ethernet1,spine,DC1-POD1-SPINE1,Ethernet3,True
l3leaf,DC1-POD1-LEAF1A,Ethernet2,spine,DC1-POD1-SPINE2,Ethernet3,True
l3leaf,DC1-POD1-LEAF1A,Ethernet3,l2leaf,DC1-POD1-L2LEAF1A,Ethernet1,True
l3leaf,DC1-POD1-LEAF1A,Ethernet4,overlay-controller,DC1-RS1,Ethernet3,True
l3leaf,DC1-POD1-LEAF2A,Ethernet1,spine,DC1-POD1-SPINE1,Ethernet4,True
l3leaf,DC1-POD1-LEAF2A,Ethernet2,spine,DC1-POD1-SPINE2,Ethernet4,True
l3leaf,DC1-POD1-LEAF2A,Ethernet3,l2leaf,DC1-POD1-L2LEAF2A,Ethernet1,True
l3leaf,DC1-POD1-LEAF2A,Ethernet4,l2leaf,DC1-POD1-L2LEAF2B,Ethernet1,True
l3leaf,DC1-POD1-LEAF2A,Ethernet5,mlag_peer,DC1-POD1-LEAF2B,Ethernet5,True
