Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,LEAF1,Ethernet1,spine,SPINE1,Ethernet1,True
leaf,LEAF1,Ethernet2,spine,SPINE2,Ethernet1,True
leaf,LEAF1,Ethernet3,server,HostA,Eth1,True
leaf,LEAF1,Ethernet47,mlag_peer,LEAF2,Ethernet47,True
leaf,LEAF1,Ethernet48,mlag_peer,LEAF2,Ethernet48,True
leaf,LEAF2,Ethernet1,spine,SPINE1,Ethernet2,True
leaf,LEAF2,Ethernet2,spine,SPINE2,Ethernet2,True
leaf,LEAF2,Ethernet3,server,HostB,Eth1,True
leaf,LEAF2,Ethernet47,mlag_peer,LEAF1,Ethernet47,True
leaf,LEAF2,Ethernet48,mlag_peer,LEAF1,Ethernet48,True
leaf,LEAF3,Ethernet1,spine,SPINE1,Ethernet3,True
leaf,LEAF3,Ethernet2,spine,SPINE2,Ethernet3,True
leaf,LEAF3,Ethernet3,server,HostC,Eth1,True
leaf,LEAF3,Ethernet47,mlag_peer,LEAF4,Ethernet47,True
leaf,LEAF3,Ethernet48,mlag_peer,LEAF4,Ethernet48,True
leaf,LEAF4,Ethernet1,spine,SPINE1,Ethernet4,True
leaf,LEAF4,Ethernet2,spine,SPINE2,Ethernet4,True
leaf,LEAF4,Ethernet3,server,Host2,Eth1,True
leaf,LEAF4,Ethernet47,mlag_peer,LEAF3,Ethernet47,True
leaf,LEAF4,Ethernet48,mlag_peer,LEAF3,Ethernet48,True
spine,SPINE1,Ethernet1,leaf,LEAF1,Ethernet1,True
spine,SPINE1,Ethernet2,leaf,LEAF2,Ethernet1,True
spine,SPINE1,Ethernet3,leaf,LEAF3,Ethernet1,True
spine,SPINE1,Ethernet4,leaf,LEAF4,Ethernet1,True
spine,SPINE1,Ethernet5,firewall,FIREWALL,Eth1,True
spine,SPINE1,Ethernet47,mlag_peer,SPINE2,Ethernet47,True
spine,SPINE1,Ethernet48,mlag_peer,SPINE2,Ethernet48,True
spine,SPINE2,Ethernet1,leaf,LEAF1,Ethernet2,True
spine,SPINE2,Ethernet2,leaf,LEAF2,Ethernet2,True
spine,SPINE2,Ethernet3,leaf,LEAF3,Ethernet2,True
spine,SPINE2,Ethernet4,leaf,LEAF4,Ethernet2,True
spine,SPINE2,Ethernet5,firewall,FIREWALL,Eth2,True
spine,SPINE2,Ethernet47,mlag_peer,SPINE1,Ethernet47,True
spine,SPINE2,Ethernet48,mlag_peer,SPINE1,Ethernet48,True
