Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,DC1-BL1A,Ethernet7,l3_interface,,,True
l3leaf,DC1-BL1A,Ethernet8,l3_interface,,,True
l3leaf,DC1-BL1A,Ethernet9,l3_interface,,,True
l3leaf,DC1-BL1A,Ethernet10,l3_interface,,,True
l3leaf,DC1-BL1A,Ethernet10.100,l3_interface,,,True
l3leaf,DC1-BL1A,Ethernet10.200,l3_interface,,,True
l3leaf,DC1-BL1A,Ethernet41,spine,DC1-SPINE1,Ethernet6,True
l3leaf,DC1-BL1A,Ethernet42,spine,DC1-SPINE2,Ethernet6,True
l3leaf,DC1-BL1A,Ethernet43,spine,DC1-SPINE3,Ethernet6,True
l3leaf,DC1-BL1A,Ethernet44,spine,DC1-SPINE4,Ethernet6,True
l3leaf,DC1-BL1A,Ethernet4000,my_precious,MY-own-peer,Ethernet123,True
l3leaf,DC1-BL1B,Ethernet7,l3_interface,,,True
l3leaf,DC1-BL1B,Ethernet8,l3_interface,,,True
l3leaf,DC1-BL1B,Ethernet9,l3_interface,,,True
l3leaf,DC1-BL1B,Ethernet10,l3_interface,,,True
l3leaf,DC1-BL1B,Ethernet10.100,l3_interface,,,True
l3leaf,DC1-BL1B,Ethernet10.200,l3_interface,,,True
l3leaf,DC1-BL1B,Ethernet45,spine,DC1-SPINE1,Ethernet7,True
l3leaf,DC1-BL1B,Ethernet46,spine,DC1-SPINE2,Ethernet7,True
l3leaf,DC1-BL1B,Ethernet47,spine,DC1-SPINE3,Ethernet7,True
l3leaf,DC1-BL1B,Ethernet48,spine,DC1-SPINE4,Ethernet7,True
l3leaf,DC1-BL1B,Ethernet4000,my_precious,MY-own-peer,Ethernet123,True
l2leaf,DC1-L2LEAF1A,Ethernet1,l3leaf,DC1-LEAF2A,Ethernet7,True
l2leaf,DC1-L2LEAF1A,Ethernet2,l3leaf,DC1-LEAF2B,Ethernet7,True
l2leaf,DC1-L2LEAF1A,Ethernet3,mlag_peer,DC1-L2LEAF1B,Ethernet3,True
l2leaf,DC1-L2LEAF1A,Ethernet4,mlag_peer,DC1-L2LEAF1B,Ethernet4,True
l2leaf,DC1-L2LEAF1B,Ethernet1,l3leaf,DC1-LEAF2A,Ethernet8,True
l2leaf,DC1-L2LEAF1B,Ethernet2,l3leaf,DC1-LEAF2B,Ethernet8,True
l2leaf,DC1-L2LEAF1B,Ethernet3,mlag_peer,DC1-L2LEAF1A,Ethernet3,True
l2leaf,DC1-L2LEAF1B,Ethernet4,mlag_peer,DC1-L2LEAF1A,Ethernet4,True
l2leaf,DC1-L2LEAF2A,Ethernet1,l3leaf,DC1-SVC3A,Ethernet7,True
l2leaf,DC1-L2LEAF2A,Ethernet2,l3leaf,DC1-SVC3B,Ethernet7,True
l2leaf,DC1-L2LEAF2A,Ethernet3,mlag_peer,DC1-L2LEAF2B,Ethernet3,True
l2leaf,DC1-L2LEAF2A,Ethernet4,mlag_peer,DC1-L2LEAF2B,Ethernet4,True
l2leaf,DC1-L2LEAF2B,Ethernet1,l3leaf,DC1-SVC3A,Ethernet8,True
l2leaf,DC1-L2LEAF2B,Ethernet2,l3leaf,DC1-SVC3B,Ethernet8,True
